Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor,Producers (Full Name),Actors (Full Name),Directors (Full Name),Otherwise Involved (Full Name),Writer (Full Name),Camerawork (Full Name)
Fighting His Way Thru,,,,"Unable to Verify 

",Superior Arts Motion Picture Company,1923,1923,,,,Dorsey,,,Richard E. Norman and Race Filmmaking,,,,,D. A. Dorsey,,,,,
His Great Chance,The Great Chance,Drama,clipping_5211630.pdf (https://dl.airtable.com/XOTqhBmkTGKpbjfJUU3v_clipping_5211630.pdf),"GPJ Collection, Box 19, His Great Chance Folder. --MP

The New York Age (New York, New York), Sat, May 12, 1923, Page 6",North State,1923,1923,5,"Burns,Smart,Moore,Moore,Hart,Burns,Russell,Slater,Long",Strasser,,,,"Slow Fade to Black,George P. Johnson Negro Film Collection,Blacks in Black and White",,,,,,"Sandy Burns, Bobby Smart, Tim Moore, Gertrude Moore, Fred Hart, Fannette Burns, Sam Russell, Mark Slater, Walter Long",Ben Strasser,,,
Regeneration,,Drama,out (53).pdf (https://dl.airtable.com/VKazQR5SSSYL0UUeVnu2_out%20(53).pdf),"""At the Theaters."" The Chicago Defender (National Edition) (1921-1967), Oct 18, 1924. --MP",Norman Film Manufacturing Company,1923,1923,6,"Mayo,Maxwell,Norcom,Gaines,Brown ,Rucker,Reynolds",Norman,Norman,,,"Oscar Micheaux and His Circle,Richard E. Norman and Race Filmmaking",,,,,Richard E. Norman,"Stella Mayo, M.C. Maxwell, Alfred Norcom, Charles Gaines, R.L. Brown , Clarence Rucker, Steve Reynolds",Richard E. Norman,,,
Sissle and Blake,,,clipping_5273584.pdf (https://dl.airtable.com/kLhsHhcNRVy4LBnJXKlZ_clipping_5273584.pdf),"First appearance of black actors in a sound film. One of earliest experimental sound films

 Shamokin News-Dispatch
(Shamokin, Pennsylvania)
14 Nov 1925, Sat ' Page 2 
",Lee De Forest Phonofilms,1923,,,"Sissle,Blake",De Forest,De Forest,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Lee De Forest,"Noble Sissle, Eubie Blake",Lee De Forest,,,
Snappy Tunes,,,,"Musical.

Unable to verify-MC
",Lee De Forest Phonofilms,1923,,,,"Sissle,Blake",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,"Noble Sissle, Eubie Blake",,,
The Devil's Match,,Drama,,,North State,1923,1923,,"Long,Smart",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,,,"Walter Long, Bobby Smart",,,,
The Devils,,,,,,1923,1923,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Flames of Wrath,,Drama,Flames of Wrath.pdf (https://dl.airtable.com/zvAG7WCrRumcNclpE7DS_Flames%20of%20Wrath.pdf),"Box14, GPJ Collection
The Chicago Defender (National edition)

Discrepancy: Sampson gives the release date as 1922. --MP",Western Film Production Company,1923,1923,5,"Mankins,Burton,Pearson,Kelson,Johnson,Colbert,Williams",Williams,Williams,,,"George P. Johnson Negro Film Collection,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Maria P. Williams,"Roxie Mankins, John Burton, Charles Pearson, Anna Kelson, John Lester Johnson, Frank Colbert, Maria P. Williams",Maria P. Williams,,,
The Heart of A Negro,,,,"Announced, but never produced.",Lincoln Motion Picture Company,1923,,,,,,Gant,,Richard E. Norman and Race Filmmaking,,,,,,,,,,Harry Gant
Tony's Shirt,,,,Unable to verify,Dunbar Film Corporation,1923,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Tuskegee Finds a Way Out,,"Drama,Actuality",,"Cast: Tuskegee Institute

Unable to verify",Crusader Film Company,1923,,7,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Why Worry?,,Comedy,out (56).pdf (https://dl.airtable.com/K2rHUqbTS3tSTpPdahZS_out%20(56).pdf),"D. Ireland Thomas. (1923, Mar 03). Motion picture news. The Chicago Defender (National Edition) (1921-1967).",Lone Star Motion Picture Company,1923,,,"Smith,Morris,Brown",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,,,"Byron Smith, Mae Morris, Frank Brown",,,,
A Son of Satan,Son of Satan; A Son of Satan: The Story of a Haunted House; The Son of Satan; Ghost of Tolston's Manor,Drama,"out(3).pdf (https://dl.airtable.com/7sJZuoBqTB6lYbOYVDAm_out(3).pdf),out(4).pdf (https://dl.airtable.com/9t2rb9pkROvQdvAW8pCl_out(4).pdf)","Details and cast list taken from Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). The original film was 8 reels; censors demanded passages removed, bringing the length to 6 reels. --MP

The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 03 Jan 1925: 15; D IRELAND THOMAS. The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 26 July 1924: 6. -MC
",Micheaux Film Corporation,4/1/1923,10/1/1924,8,"Bishop,Chenault,Morton,Howard,Hawley,Anthony,Ellis,Dove,Brown,Robinson,Stewart,Sewall,Tatum,Smallwood,Anderson",Micheaux,Micheaux,,,"Oscar Micheaux and His Circle,Blacks in Black and White",Micheaux,,,,Oscar Micheaux,"Andrew S. Bishop, Lawrence Chenault, Edna Morton, Shingzie Howard, Monte Hawley, Emmett Anthony, Evelyn Ellis, Marie Dove, Margaret Brown, Walter Robinson, Kink Stewart, Olivia Sewall, E.G. Tatum, Mildred Smallwood, Ida Anderson",Oscar Micheaux,,Oscar Micheaux,
A Debtor to the Law,,"Western,Drama","img?id=6713177&width=557&height=963&crop=884_3842_1390_2449&rotation=0&brightness=0&contrast=0&invert=0&ts=1463081288&h=eedf59f2508600ba979a9c4752dfd48d (https://dl.airtable.com/CBWXtpTMT76prk5XUDWy_img%3Fid%3D6713177%26width%3D557%26height%3D963%26crop%3D884_3842_1390_2449%26rotation%3D0%26brightness%3D0%26contrast%3D0%26invert%3D0%26ts%3D1463081288%26h%3Deedf59f2508600ba979a9c4752dfd48d),img?id=4984087&width=557&height=1257&crop=2860_958_895_2057&rotation=0&brightness=0&contrast=0&invert=0&ts=1463082257&h=2213fc4641be22f29ac167ddca76a787 (https://dl.airtable.com/18wvOEc4QE6yyuNwCCpE_img%3Fid%3D4984087%26width%3D557%26height%3D1257%26crop%3D2860_958_895_2057%26rotation%3D0%26brightness%3D0%26contrast%3D0%26invert%3D0%26ts%3D1463082257%26h%3D2213fc4641be22f29ac167ddca76a787)"," The Standard-Sentinel, 14 Apr 1921, Thu, Page 4

Date discrepancy- publish date is 1924

Joplin Globe, 19 February 1922, Page 6",Norman Film Manufacturing Company,1924,1924,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Birthright,"Birthright: A Story of the Negro and the South, Hooker's Bend",Drama,out.pdf (https://dl.airtable.com/eGAw5HacRXKvBAGfRGyK_out.pdf),"Verification: ""BIRTHRIGHT"" AT THE DUNBAR. (1924, Mar 28). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530483150?accountid=14512 - SN",Micheaux Film Corporation,1924,11/22/1924,10,"Chenault,Whitney,Tutt,Preer,Mines,Tatum,Elkas,Sewall,Crowell",Micheaux,Micheaux,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle,Frame by Frame: A Black Filmography (Part 1),Blacks in Black and White",Micheaux,,,Associated Negro Picture Distributors,Oscar Micheaux,"Lawrence Chenault, Salem Tutt Whitney, Homer J. Tutt, Evelyn Preer, Callie Mines, E.G. Tatum, Edward Elkas, Alma Sewall, T.C. Crowell",Oscar Micheaux,,Oscar Micheaux,
Body and Soul,,Drama,out (3).pdf (https://dl.airtable.com/INGMLkbCQj2UMnG3mZZ4_out%20(3).pdf),"Verification: NEW MICHEAUX FILM STARS ROBESON. (1925, Feb 14). Afro-American (1893-1988) Retrieved from 

http://search.proquest.com/docview/530629973?accountid=14512 - SN Richards includes only Robeson, Russell, Gilbert, Tatum, Verwayen among cast. --MP",Micheaux Film Corporation,1924,11/11/1925,,"Robeson,Gilbert,Chenault,Russell,Alexander,Cornick,Johnson,Robinson,Johnson,Tatum,Verwayen,Rodgers",Micheaux,Micheaux,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Oscar Micheaux,"Paul Robeson, Mercedes Gilbert, Lawrence Chenault, Julia Theresa Russell, Chester A. Alexander, Walter Cornick, Lillian Johnson, Mademe Robinson, Noble Johnson, E.G. Tatum, Percy Verwayen, Marshall Rodgers",Oscar Micheaux,,,
Harry Wills in Training,,,,,Acme Film Distribution Corporation,1924,,,Wills,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,Harry Wills,,,,
Smiling Hate,,Drama,"clipping_5273743.pdf (https://dl.airtable.com/6gkeqGi4RFGq0MbVlHE1_clipping_5273743.pdf),out(6).pdf (https://dl.airtable.com/UxOtxRGJTHGv6ZFwFXHV_out(6).pdf),out(7).pdf (https://dl.airtable.com/iBxb0pEySRuP73XLOUe7_out(7).pdf)"," The Evening Journal
(Wilmington, Delaware)
19 Nov 1924, Wed ' Main Edition ' Page 11; The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 24 May 1924: 6; Afro-American (1893-1988) [Baltimore, Md] 02 May 1925: 4.",Superior Arts Motion Picture Company,1924,1924,6,"Henderson,Talley,Agusta,Milton,Clayton,Smith,Lee",,Calnek,,,"Richard E. Norman and Race Filmmaking,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White","Ujiffy,Alger,Fish",Alger,,,Roy Calnek,"Harry Henderson, Josephine Talley, Howard Agusta, William Milton, William Clayton, Ethel Smith, Will Lee",,Paul K. Alger,"Ray Ujiffy, Paul K. Alger, Albert A. Fish",
Steppin' High,,,out(23).pdf (https://dl.airtable.com/eRDoEBVoQqeXR2lCQnHR_out(23).pdf),"The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 31 May 1924: 6",Superior Arts Motion Picture Company,1924,1924,,"Lee,Valley",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Will Lee, Annie Valley",,,,
The Flaming Crisis,Flaming Crisis,Drama,,,"Monarch,Mesco Productions",1924,1924,6,"Dunbar,Nicholson,White,Dixon,Sherman,Chester,Yeargan,Butler",,Goldman,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,Mesco Productions,Lawrence Goldman,"Dorothy Dunbar, Calvin Nicholson, Talford White, Henry Dixon, Kathryn Sherman, Marie Chester, Arthur Yeargan, William Butler",,,,
Welcome Strangers,,,356 clipping.pdf (https://dl.airtable.com/aabL5xHnRa6p3M1XjEiB_356%20clipping.pdf),"Detroit Free Press 
(Detroit, Michigan)
14 Nov 1947, Fri ' Page 26",,1924,,,Brooks,,,,,Blacks in Black and White,,,,,,Clarence Brooks,,,,
Bathing Beauty Parade Pacific Beach,,Actuality,clipping_5268182.pdf (https://dl.airtable.com/mNvNWAppSiy3zPARX1lT_clipping_5268182.pdf),"The Pittsburgh Courier (Pittsburgh, Pennsylvania), 19 Sep 1925, Sat ' Page 5",,1925,1925,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Black Boomerang,,,,Unable to Verify - SN,William H. Clifford Photoplay Company,1925,1925,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Devil's Disciple,,Drama,,Also a 5-reel version. --MP,Micheaux Film Corporation,1925,1926,6,"Preer,Chenault,Thompson,Verwayen",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Micheaux,,,,Oscar Micheaux,"Evelyn Preer, Lawrence Chenault, Edward Thompson, Percy Verwayen",Oscar Micheaux,,Oscar Micheaux,
The Fighting Deacon,,"Drama,Boxing",,"Box 14, GPJ Collection",Tiger Flowers & Walt Miller,1925,1925,5,"Flowers,Lawson",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,Milton Star,,"Tiger Flowers, Fighting Bob Lawson",,,,
The Florian Slappey Series,,Comedy,,,Octavus Cohen,1925,1925,,,,Cohen,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Octavus Cohen,,,,,
A Prince of His Race,,Drama,clipping_5212343.pdf (https://dl.airtable.com/lmpqyvuRmfWa0u7B26BA_clipping_5212343.pdf),"See Musser's filmography of CPFC in Bowser et al. --MP

Verification: The New York Age (New York, New York)
4 Dec 1926, Page 6 
",Colored Players Film Corporation of Philadelphia,1926,1926,8,"Gilpin,Henderson,Howard,Clayton,Chenault,Mickey,Smith",Calnek,"Starkman,Groner",,,"Slow Fade to Black,Oscar Micheaux and His Circle",Calnek,,,,"David Starkman, Louis Groner","Charles Gilpin, Harry Henderson, Shingzie Howard, William Clayton, Lawrence Chenault, Arline Mickey, Ethel Smith",Roy Calnek,,Roy Calnek,
Black Gold,,,,"unable to verify - SN
Marika originally entered the production date as 1928, but Bowser et al. has 1926 (prod)/1927(dist). --MP

Richards also has release date as 1928. --MP

Sampson also gives release date as 1928. --MP

Image from: https://www.iu.edu/~images/dams/475476_actual.jpg




",Norman Film Manufacturing Company,1926,1927,6,"Criner,Boyd,Reynolds,Norcom,Tatums,Brown ,Horn",Norman,Norman,,475476_actual.jpg (https://dl.airtable.com/oEfnZmdSoZeZEaao8uig_475476_actual.jpg),"Oscar Micheaux and His Circle,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,,Richard E. Norman,"J. Lawrence Criner, Kathryn Boyd, Steve Reynolds, Alfred Norcom, Marshal L.B. Tatums, R.L. Brown , P. D. Horn",Richard E. Norman,,,
Children of Fate,,Drama,out (7).pdf (https://dl.airtable.com/I2wgsxNuRLWwHFkE91m9_out%20(7).pdf),"Verification: FILM REVIEWS. (1927, May 07). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530709870?accountid=14512��- SN

Discrepancy: GPJ gives release date as 1918. --MP",Colored Players Film Corporation of Philadelphia,1926,1926,8,"Chenault,Henderson,Mickey,Agusta,Jackson,Howard,Clayton",Calnek,Starkman,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,,David Starkman,"Lawrence Chenault, Harry Henderson, Arline Mickey, Howard Agusta, Alonzo Jackson, Shingzie Howard, William Clayton",Roy Calnek,,,
Let's Do the Black Bottom ,,"Newsreel,Documentary ",clipping_5213350.pdf (https://dl.airtable.com/WE8rLBDTAmdYHrfBwZIg_clipping_5213350.pdf),"Development of the Black Bottom dance featuring blacks.

The Davenport Democrat and Leader (Davenport, Iowa), Fri, Mar 4, 1927, Page 21",Castle Films,1926,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Reckless Money,,Comedy,,,Dudley Film Company,1926,,,"Dudley,La Rue",Dudley,Dudley,Watkins of Durham,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Dudley,,,,Sherman Dudley,"Sherman Dudley, John La Rue",Sherman Dudley,,Mary Dudley, Watkins of Durham
Saddle Daze,,,,,,1926,,,Wild West Rodeo,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,, Wild West Rodeo,,,,
Spider's Web,The Spider's Web,Drama,"clipping_5275485.pdf (https://dl.airtable.com/07C23wqDSQyMXmKOdBW1_clipping_5275485.pdf),out(8).pdf (https://dl.airtable.com/dHug48KsQyiTIkBBrWSI_out(8).pdf),out(9).pdf (https://dl.airtable.com/eMCIZW8jTFSjEQpNVJ4b_out(9).pdf),out(10).pdf (https://dl.airtable.com/JB0esgqjQXK6RUQyfKbb_out(10).pdf)"," The New York Age
(New York, New York)
8 Jan 1927, Sat ' Page 6; The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 15 Jan 1927: 6; Afro-American (1893-1988) [Baltimore, Md] 29 Jan 1927: 7; Afro-American (1893-1988) [Baltimore, Md] 06 Nov 1926: 14.",Micheaux Film Corporation,1926,1927,7,"Preer,McLane,Thompson,Jackson,Loveless,Rodgers,Gulport,Williams,Diggs,Major,Barr,Williams,Smith",Micheaux,Micheaux,,,"Slow Fade to Black,Blacks in Black and White",Micheaux,,,,Oscar Micheaux,"Evelyn Preer, Lorenzo McLane, Edward Thompson, Zodiac Jackson, Henrietta Loveless, Marshall Rodgers, Billy Gulport, Cy Williams, Josiah Diggs, Cincinattus Major, Edna Barr, Palestine Delores Williams, Grace Smith",Oscar Micheaux,,Oscar Micheaux,
Ten Nights in a Bar-Room ,Ten Nights in a Barrooom,Drama,out (10).pdf (https://dl.airtable.com/dUKwBOfgSIaCL6LrRjil_out%20(10).pdf),"Verification: GILPIN'S FILM READY NOW. (1926, Sep 25). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530651071?accountid=14512 ��

Race Film: ""Colored Player Film Corporation finishes...""

'""Black version of William Pratt's temperance novel""Richards gives the length as 5 reels, Musser (in Bowser et al.) gives the length as 8. Cast list combines information from Musser and Richards. --MP",Colored Players Film Corporation of Philadelphia,1926,,5,"Gilpin,Chenault,Burwell,Clayton,Henderson,Smith,Mickey,Moore,Johnson",Calnek,"Starkman,Groner",,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Forgeries of Memory and Meaning: Blacks and the Regimes of Race in American Theater and Film Before World War II",Calnek,,,,"David Starkman, Louis Groner","Charles Gilpin, Lawrence Chenault, Myra Burwell, William Clayton, Harry Henderson, Ethel Smith, Arline Mickey, Edward Moore, William Johnson",Roy Calnek,,Roy Calnek,
The Broken Violin,,Drama,"clipping_5223072.pdf (https://dl.airtable.com/bisPGxJcQFGT6fdCDzuA_clipping_5223072.pdf),out(4).pdf (https://dl.airtable.com/Rr1MGo2TM6Cu4tvDOA6C_out(4).pdf)","The Pittsburgh Courier (Pittsburgh, Pennsylvania), 25 Aug 1928, Sat ' Page 14",Micheaux Film Corporation,1926,1929,7,"Snelson,Tutt,Foster,Horne,Dabney,Hill,Smith,Russell,Clayton,Paul",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Micheaux,,https://www.newspapers.com/clip/5223072//,,Oscar Micheaux,"Gertrude Snelson, Homer J. Tutt, Daisy Foster, Boots Horne, Ardelle Dabney, W. Hill, Ethel Smith, Alice B. Russell, William Clayton, Ike Paul",Oscar Micheaux,,Oscar Micheaux,
The Conjure Woman,,Drama,out (23).pdf (https://dl.airtable.com/zdbO1vSHuuWNP5BQVngX_out%20(23).pdf),"Verification: In the new picture. (1926, Jul 14). The New York Amsterdam News (1922-1938) Retrieved from http://search.proquest.com/docview/226223093?accountid=14512 ",Micheaux Film Corporation,1926,1926,,"Preer,Verwayen,Chenault,Sewall,Wilkes,Easton",Micheaux,Micheaux,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle","Micheaux,Chesnutt",,,,Oscar Micheaux,"Evelyn Preer, Percy Verwayen, Lawrence Chenault, Alma Sewall, Mattie V. Wilkes, Sidney Easton",Oscar Micheaux,,"Oscar Micheaux, Charles Chesnutt",
The Flying Ace,,Drama,,"Image without airplane from: http://www.indiana.edu/~liblilly/blog/wp-content/uploads/2013/09/flyingace.jpg

Image with airplane from: http://www.normanstudios.org/norman-films-stars/norman-films/the-flying-ace/

",Norman Film Manufacturing Company,1926,1926,6,"Boyd,Colvin,Brown ,Reynolds,Criner,Platts,DeLegge,Daniels,Jordan",Norman,Norman,,"flyingace.jpg (https://dl.airtable.com/5yIzP0UoStidqOHTY9ui_flyingace.jpg),NS-FlyingAcePoserMed.jpg (https://dl.airtable.com/06CM9Lp8RwuE8NKqXAvq_NS-FlyingAcePoserMed.jpg)","""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Richard E. Norman,"Kathryn Boyd, George Colvin, R.L. Brown , Steve Reynolds, J. Lawrence Criner, Harold Platts, Boise DeLegge, Lyons Daniels, Sam Jordan",Richard E. Norman,,,
The Scar of Shame,Scar of Shame,Drama,out (54).pdf (https://dl.airtable.com/nD8UF7AMQfi0ZJ3iNBpJ_out%20(54).pdf),"""Display Ad 1 -- no Title."" Afro-American (1893-1988), Dec 21, 1929.",Colored Players Film Corporation of Philadelphia,1926,1927,,"Chenault,Howard,Gilpin,Moses,Henderson,McCormack,Johnstone,Pettus,Kennedy",Peregini,Starkman,Ligouri,,"Richard E. Norman and Race Filmmaking,Slow Fade to Black,Oscar Micheaux and His Circle,Forgeries of Memory and Meaning: Blacks and the Regimes of Race in American Theater and Film Before World War II",Starkman,,,,David Starkman,"Lawrence Chenault, Shingzie Howard, Charles Gilpin, Lucia Lynn Moses, Harry Henderson, Pearl McCormack, Norman Johnstone, William E. Pettus, Ann Kennedy",Frank Peregini,,David Starkman,Al Ligouri
A Pictorial View of Idlewild,,Actuality,,"Unable to find mention in newspapers. --MP

",Chicago Daily News Film Service,1927,,,,,,,,,,,,,,,,,,
Fighting Love,,Drama,fighting love.pdf (https://dl.airtable.com/C3DcHIKWSrKoHEluIyTO_fighting%20love.pdf),"Box 14
""25 colored actors used""
The New York Amsterdam News",,1927,,,Dix,Chrisander,,,,George P. Johnson Negro Film Collection,,,,,,Beulah Marie Dix,Nils Olaf Chrisander,,,
The Count,,,,Unable to Verify - SN,Centrake Cinematographique,1927,,,Baker,,,,,,,,,,,Josephine Baker,,,,
The Millionaire,,Drama,,Chicago Defender,Micheaux Film Corporation,1927,1928,9,"Smith,Criner,Monagas,Desmond,Edmondson,Bracken,Jacks,Tatum,Abbott,Abbott",,Micheaux,,,"Richard E. Norman and Race Filmmaking,Oscar Micheaux and His Circle",Micheaux,,,,Oscar Micheaux,"Grace Smith, J. Lawrence Criner, Lionel Monagas, Cleo Desmond, William Edmondson, Vera Bracken, Samuel Jacks, E.G. Tatum, Robert Abbott, Mrs. Robert Abbott",,,Oscar Micheaux,
The Revue des Revues,,,,"French. Sound

Unable to Verify",,1927,,,"Baker,Dixon,Luquet,de Balzac,Carise,Varna",,Nalpas,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Alex Nalpas,"Josephine Baker, Gabrielle Dixon, Andre Luquet, Jeanne de Balzac, Erna Carise, Henri Varna",,,,
A Chocolate Cowboy,,"Western,Comedy",clipping_5245485.pdf (https://dl.airtable.com/DyHYiPBvTLeVnTO08aQv_clipping_5245485.pdf),"Denton (TX) Record-Chronicle, Jan. 1, 1931, p. 8.

Amarillo (TX) Globe-Times, Sept. 11, 1930, p. 8.

Rushville (IN) Republican, April 15, 1930, p. 4.

",Cyclone Pictures,1928,1928,2,"Parker,Reavis",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Fred Parker, Teddy Reavis",,,,
Absent,,Drama,clipping_5212867.pdf (https://dl.airtable.com/MCpPf2hWThmghPyvoVqF_clipping_5212867.pdf),"Box 52, Absent folder, GPJ collection.

The Pittsburgh Courier
(Pittsburgh, Pennsylvania)
25 Aug 1928, Page 14 - MC
",Rosebud Film Corporation,1928,1928,,"Brooks,Reed,Owens,Lincoln,Shackeford",Gant,Gant,Gant,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,,Harry Gant,"Clarence Brooks, George Reed, Virgel Owens, Rosa Lee Lincoln, Floyd Shackeford",Harry Gant,,,Harry Gant
Eleven P.M.,,Drama,,Unable to Verify,Maurice Film Company,1928,1928,6,"Maurice,Pope,Lane,Williams",Maurice,Maurice,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Richard Danal Maurice,"Richard Danal Maurice, Leo Pope, Sammie Lane, H. Marion Williams",Richard Danal Maurice,,,
Hazel Green and Company,,,,,,1928,,,,Foy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,Bryan Foy,,,
Marcus Garland,,Drama,,"Dispute over whether this film was actually produced; see Musser et al. filmography in Bowser et al., p. 276.

Unable to verify exhibition (although mention is made of production). --MP",Micheaux Film Corporation,1928,1928,,Birdsong,Micheaux,Micheaux,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,Slow Fade to Black,Oscar Micheaux and His Circle",Micheaux,,"""Possibly a burlesque on Marcus Garvey"" (Cripps, 191) --MP",Micheaux Film Corporation,Oscar Micheaux,Amy Birdsong,Oscar Micheaux,,Oscar Micheaux,
Samba,,,,Germany,"Muchener Lichtspielkunst Emelka,Coloniale du Film",1928,,,,Bruckner,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,August Bruckner,,,
Tenderfeet,,,out (11).pdf (https://dl.airtable.com/hNBcpWj9Q5yFIsQ2k7mD_out%20(11).pdf),"Verification: AT AFRO CLUB AGAIN. (1928, Aug 25). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530735987?accountid=14512

Race Film reference: ""...having an all-colored cast""

Box 4, George P. Johnson Collection, Clarence Brooks folder. --MP��",Midnight Productions,1928,1928,,"Williams,Washington,Washington,Bell,Robinson",Williams,Williams,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,,Spencer Williams,"Spencer Williams, Mildred Washington, Flora Washington, Spencer Bell, James Robinson",Spencer Williams,,,
The Midnight Ace,,,,"Discussed in Pittsburgh Courier, May 5, 1928.",Dunbar Film Corporation,1928,1928,,"DeComathiere,Kelly,Sutton,Edmondson,Dugas,Brown,Gaytzera,Smith ,Penalver,Day,Cornick,Gibbens","Micheaux,Wade",Micheaux,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Oscar Micheaux,"A.B. DeComathiere, Mabel Kelly, Susie Sutton, William Edmondson, Oscar Roy Dugas, Roberta Brown, Anthony Gaytzera, Pete Smith , Clarence Penalver, War Day, Walter Cornick, Bessie Gibbens","Swan Micheaux, John H Wade",,,
Thirty Years Later,,Drama,out.pdf (https://dl.airtable.com/1n1LqhQWS1e6LQW58XHg_out.pdf),"Afro-American (1893-1988); May 5, 1928; ProQuest Historical Newspapers: The Baltimore Afro-American; pg. 9

",Micheaux Film Corporation,1928,1928,6,"DeComathiere,Dabney,Carter,Snelson,Ray,Williams,Kelly,Edmondson,Robinson",Micheaux,Micheaux,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle","Micheaux,Downing",,,,Oscar Micheaux,"A.B. DeComathiere, Ardelle Dabney, Barrington Carter, Gertrude Snelson, Arthur Ray, Ruth Williams, Mabel Kelly, William Edmondson, Mademe Robinson",Oscar Micheaux,,"Oscar Micheaux, Henry Francis Downing",
Gayety,,,Logansport_Pharos_Tribune_Mon__Mar_29__1937_.pdf (https://dl.airtable.com/dw24EXvQTSOdLJcsSKcj_Logansport_Pharos_Tribune_Mon__Mar_29__1937_.pdf),"Logansport Pharos-Tribune (Logansport, Indiana), Mon, Mar 29, 1937, Page 7

",,1929,,,"Brooks,Harrington,Anderson",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Shelton Brooks, Hamtree Harrington, Ida Anderson",,,,
Harlem Knights,,,,,,1929,,,"Miller,Lyles",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Fournoy E. Miller, Aubrey Lyles",,,,
