LN,FN,Full name,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Theatrical Company Assoc. With,Films
Tutt,Homer J.,Homer J. Tutt,"J. Homer Tutt, Homer Tutt Whitney",1/31/1882,2/10/1951,"Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP

On Tutt and his brother, Salem Tutt Whitney, see ""Tutts Made Mark in Music,"" Logansport (IN) Pharos-Tribune, March 20, 2009 (http://www.pharostribune.com/opinion/article_64c146f3-3439-50d7-b1b7-5b30db94c5df.html). --MP",,"Birthright,The Broken Violin",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,,
Tyler,Willes O.,Willes O. Tyler,,,,"Attorney for Lincoln MPC, per Sampson (27).",,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,Lincoln Motion Picture Company,,
Ujiffy,Ray,Ray Ujiffy,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Smiling Hate,,,
Varna,Henri,Henri Varna,,,,,,The Revue des Revues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Vernon,Lou,Lou Vernon,,,12/22/1971,,,The Exile,,,,George P. Johnson Negro Film Collection,,,,
Vernot,Henry J.,Henry J. Vernot,,,,,,,The Sport of the Gods,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Verwayen,Percy,Percy Verwayen,Percy Verwayn,,,,,"The Secret Sorrow,The Call of His People,The Burden of Race,The Simp,Easy Money,Body and Soul,The Conjure Woman,A Daughter of the Congo,The Devil's Disciple",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Wade,John H,John H Wade,,,,,,,The Midnight Ace,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Walcott,Joe,Joe Walcott,,,,,,"Haynes Newsreel No. 1,Haynes Newsreel No. 3",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Walker,C.J.,C.J. Walker,Madame C.J. Walker,,,,,,,Pythian Conclave and League Parley,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Walker,Ruth,Ruth Walker,,,,,,For His Mother's Sake,,,,Blacks in Black and White,,,,
Walker,Clarence,Clarence Walker,,,,,,,,,,George P. Johnson Negro Film Collection,,,,
Walpole,Stanley,Stanley Walpole,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Walthall,Henry B.,Henry B. Walthall,,,,,,The Confession,,,,George P. Johnson Negro Film Collection,,,,
Walton,J.T.,J.T. Walton,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Ward,Norman,Norman Ward,,,,,,A Modern Cain,,,,Blacks in Black and White,,,,
Wardner,Chappy,Chappy Wardner,,,,"B53, F28",,,,,,George P. Johnson Negro Film Collection,,International Negro Newsreel,,
Washington,Mildred,Mildred Washington,,,,,,"Tenderfeet,Heart of Dixie",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Washington,Flora,Flora Washington,,,,,,Tenderfeet,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Washington,Isabel,Isabel Washington,,,,,,St. Louis Blues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Washington,Fred C.,Fred C. Washington,,,,,,Georgia Rose,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Washington ,Booker T.,Booker T. Washington ,,4/5/1856,11/14/1915,,,"The Leader of His Race ,A Trip to Tuskegee,A Day at Tuskegee,YMCA Dedication",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Watkins,Mary,Mary Watkins,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Watkins,Cornelious,Cornelious Watkins,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Watkins of Durham,, Watkins of Durham,,,,,,,,,Reckless Money,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Watson,Ethel,Ethel Watson,,,,,,Come Back,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Watson,Deck,Deck Watson,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
Watson,Julia,Julia Watson,,,,,,The Janitor,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,,
Watson,Earl,Earl Watson,,,,"Appeared in The Troubles of Sambo and Dinah: ""THE STATES."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jun 20, 1914",,The Troubles of Sambo and Dinah,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Watts,Ethel,Ethel Watts,,,,"Could she be the same as ""Ethel Watson""? Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,,
Webb,M.M.,M.M. Webb,Mrs. M.M. Webb,,,Film based on story written by Mrs. M.M. Webb,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Shadowed by the Devil,,,
Weber,Rex,Rex Weber,,,,,,,Smile Film of Colored Troops' Folks,,Smile Film of Colored Troops' Folks,The Ambitions of William Foster,Smile Film of Colored Troops' Folks,,,
Wells,Miles M.,Miles M. Wells,,,,"According to Sampson, he headed the group of ""Chicago blacks"" who formed the Unique Film Company in 1916.",,,,,,Blacks in Black and White,,Unique Film Company,,
West,Charles,Charles West,,,,"Listed as organizer of Peacock Photoplay Company by Sampson, 10.
See also D. IRELAND THOMAS. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Mar 31, 1923. ",out (10).pdf (https://dl.airtable.com/fMNWeCH2TzqqkXTzIfco_out%20(10).pdf),,,,,Blacks in Black and White,,Peacock Photoplay Company,,
Whipper,Leigh,Leigh Whipper,"Lee Whipper, Lee Whipple",1877,1975,,,The Symbol of the Unconquered,"A Regeneration of Souls,Renissance Newsreel","Come Back,A Regeneration of Souls,Renissance Newsreel,Reel Negro News",,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,"Renaissance Film Company,Township Film Company,Whilco Film Corporation,Leigh Whipper Film Company",,
White,Bob,Bob White,,,,,,The Wife Hunters,The Wife Hunters,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
White,Talford,Talford White,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
White,Frank,Frank White,,,,,,"The Law of Nature,A Man's Duty",,,,Blacks in Black and White,,,,
White,Devinfast,Devinfast White,,,,,,,,,,George P. Johnson Negro Film Collection,,White Film Corporation,,
Whitely,Elsie,Elsie Whitely,,,,,,The Janitor,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,,
Whitney,Salem Tutt,Salem Tutt Whitney,,11/15/1876,2/12/1934,"Older brother of Homer Tutt.

On Whitney and his brother, Homer Tutt, see ""Tutts Made Mark in Music,"" Logansport (IN) Pharos-Tribune, March 20, 2009 (http://www.pharostribune.com/opinion/article_64c146f3-3439-50d7-b1b7-5b30db94c5df.html). --MP",,"The Witching Eyes,Birthright,A Daughter of the Congo",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,
Wild West Rodeo,, Wild West Rodeo,,,,,,Saddle Daze,,,,,,,,
Wiley,Stella,Stella Wiley,,,,,,Lovie Joe's Romance,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Wilkes,Mattie V.,Mattie V. Wilkes,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,"The Symbol of the Unconquered,The Gunsaulus Mystery,The Conjure Woman,For His Mother's Sake",,,,Oscar Micheaux and His Circle,,,,
Wilkins,Lester,Lester Wilkins,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Williams,Spencer,Spencer Williams,,7/14/1893,1969,,,"Tenderfeet,Harlem Rides The Range,Georgia Rose,Oft in the Silly Night",Tenderfeet,Tenderfeet,,"Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,Blacks in Black and White",,,,
Williams,Elizabeth,Elizabeth Williams,,,,,,The Burden of Race,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Williams,Ed,Ed Williams,,,,,,Spitfire,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Williams,Leon,Leon Williams,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Williams,Ruth,Ruth Williams,,,,,,Thirty Years Later,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Williams,Willhelmina,Willhelmina Williams,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Williams,H. Marion,H. Marion Williams,,,,,,Eleven P.M.,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Williams,Maria P.,Maria P. Williams,"Maris Williams, Maria P. Williams, Mrs. Maris P. Williams",,,"""The first colored woman film producer"" (Richards, 60). --MP

Sampson (77) lists her as co-owner of Western Picture Producing Company (with J.I. Williams). --MP

See Morgan, Kyna. ""Maria P. Williams."" In Jane Gaines, Radha Vatsal, and Monica Dall���Asta, eds. Women Film Pioneers Project. Center for Digital Research and Scholarship. New York, NY: Columbia University Libraries, 2013. Web.   September 27, 2013.   <https://wfpp.cdrs.columbia.edu/pioneer/maria-p-williams-2/>.",,The Flames of Wrath,The Flames of Wrath,The Flames of Wrath,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,Western Film Production Company,,
Williams,Duke,Duke Williams,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
Williams,Virgil,Virgil Williams,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP

See ad in The Chicago Defender (Big Weekend Edition) (1905-1966), Oct 30, 1920. 5.",out (3).pdf (https://dl.airtable.com/YZIbI1GaSVSyPkrhH9kj_out%20(3).pdf),"The Brute,In the Depths of Our Hearts",,,,Oscar Micheaux and His Circle,,,,
Williams,Ethel,Ethel Williams,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,,
Williams,Cy,Cy Williams,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,,
Williams,Palestine Delores,Palestine Delores Williams,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,,
Williams,Agusta,Agusta Williams,Augusta Williams,,,"See ad in The Chicago Defender (Big Weekend Edition) (1905-1966), Oct 30, 1920. 5",out (3).pdf (https://dl.airtable.com/vQMIfHD1RmrrNr8TUbJg_out%20(3).pdf),In the Depths of Our Hearts,,,,Blacks in Black and White,,,,
Williams,John C.,John C. Williams,,,,"According to Sampson, was secretary-treasurer of Birth of a Race Photoplay Corp.. --MP",,,,,,Blacks in Black and White,,Birth of a Race Film Company,,
Williams,J.I.,J.I. Williams,,,,"Owner of Western Picture Producing Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,Western Film Production Company,,
Williams,Theodore,Theodore Williams,,,,,,A Modern Cain,,,,Blacks in Black and White,,,,
Williams,Fred,Fred Williams,,,,,,A Modern Cain,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Wills,Harry,Harry Wills,,,,,,Harry Wills in Training,,,,Blacks in Black and White,,,,
Wilson,Speedy,Speedy Wilson,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Wilson,Ben,Ben Wilson,,,,Mentioned in folder for Ben Roy Productions (GPJ Box 3). --MP,,,,,,George P. Johnson Negro Film Collection,,Ben Roy Productions,,
Wilson,Irene,Irene Wilson,,,,,,Georgia Rose,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Wood,Trevy,Trevy Wood,Trevy Woods,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,The Homesteader,,,,Oscar Micheaux and His Circle,,,,
Woodson,J. H.,J. H. Woodson,,,,,,The Secret Sorrow,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Yeargan,Arthur,Arthur Yeargan,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Young,Mabel,Mabel Young,,,,,,"The Burden of Race,Spitfire,Deceit,The Gunsaulus Mystery",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Young,Artie,Artie Young,,,,,,Harlem Rides The Range,,,,Blacks in Black and White,,,,
Young,Z.V,Z.V Young,,,,,,A Modern Cain,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
George,Frank P.,Frank P. George,,,,"""Display Ad 4 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Sep 01, 1917",,The Accidental Ruler,,,,,,,,
Perrin,Sidney,Sidney Perrin,,,,"Appearance in The Accidental Ruler: ""Display Ad 4 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Sep 01, 1917",,The Accidental Ruler,,,,,,,,
Riddley,Effie,Effie Riddley,,,,"Appeared in The Troubles of Sambo and Dinah: ""THE STATES."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jun 20, 1914",,The Troubles of Sambo and Dinah,,,,,,,,
Burke,M.M.,M.M. Burke,,,,"Identified as president of Colored Motion Picture Producers of America in Owsley, Tim. """"NOW""."" The Chicago Defender (National Edition) (1921-1967), Jun 12, 1926",,,,,,,,Colored Motion Picture Producers of America,,
Ray,T.J.,T.J. Ray,,,,"Identified as production manager of Colored Motion Picture Producers of America in Owsley, Tim. """"NOW""."" The Chicago Defender (National Edition) (1921-1967), Jun 12, 1926",,,,,,,,Colored Motion Picture Producers of America,,
Dix,Beulah Marie,Beulah Marie Dix,,,,"""Fighting Love"" Will Be at the Douglas Theatre: VIVID STORY OF THE SAHARA DESERT TO RUN FOR THREE...
The New York Amsterdam News (1922-1938); Jul 27, 1927;
ProQuest Historical Newspapers: New York Amsterdam News",,Fighting Love,,,,,,,,
Allmon,Charles,Charles Allmon,,,,,,,,,,Forgeries of Memory and Meaning: Blacks and the Regimes of Race in American Theater and Film Before World War II,,Allmon-Hudlin Film Company,,
Lucas,Sam,Sam Lucas,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Holman,Charles,Charles Holman,,,,"On involvement in White Film Corp., see Williams, Kennard. ""STAGE MUSIC."" Afro-American (1893-1988), Jan 23, 1926. ",,,,,,,,White Film Corporation,,
Buchanan,Cleveland,Cleveland Buchanan,,,,"Produced Democracy Paid For. See The New York Age (New York, New York) �� Sat, Sep 20, 1919 �� Page 6.",clipping_5267242.pdf (https://dl.airtable.com/ZKdg1I5nSlZ0OrNHBd2g_clipping_5267242.pdf),,,Democracy Paid For,,,,,,
Lybarger,Lee Francis,Lee Francis Lybarger,,,,"Connected with the production of Democracy or a Fight for Right. See Chicago Daily Tribune (Chicago, Illinois), 28 May 1919, Wed ��� Page 18.
",,,,,,,,Democracy Photoplay Corporation,,
Knight,Charles,Charles Knight,,,,"""World's champion riveter."" Display ad 19 -- no title. (1918, Jul 06). The Chicago Defender (Big Weekend Edition) (1905-1966).",out (38).pdf (https://dl.airtable.com/FRSeWWW6QjOlXzSTY7n6_out%20(38).pdf),Doing Their Bit,,,,,,,,
Welcome,E. Toussaint,E. Toussaint Welcome,,1880,,"Gen. Mgr., Toussaint Motion Picture Company.

See Display ad 18 -- no title. (1918, Jul 13). The Chicago Defender (Big Weekend Edition) (1905-1966).

See also The Brooklyn Daily Eagle (Brooklyn, New York) �� Sun, May 16, 1909 �� Page 14.c",clipping_5268090.pdf (https://dl.airtable.com/ckSp8Qk2QZiVhlSu7rYx_clipping_5268090.pdf),,,,,,,Toussaint Motion Picture Company,,
Touissant Welcome,Jennie Louise,Jennie Louise Touissant Welcome,Madam Touissant Welcome,,,,,,,,,,,Toussaint Motion Picture Company,,
Hayward,William,William Hayward,Col. William Hayward,,,"The New York Age (New York, New York) �� Sat, May 22, 1920 �� Page 6",cmHbKCcHSImYoxiMIIMK_The_New_York_Age_Sat__May_22__1920_.pdf (https://dl.airtable.com/PDZSTFZxSJ6gLqtVCipu_cmHbKCcHSImYoxiMIIMK_The_New_York_Age_Sat__May_22__1920_.pdf),,,From Harlem to the Rhine,,,,,,
Moore,Marion,Marion Moore,,,,,clipping_5275831.pdf (https://dl.airtable.com/0HzCmkQ1Se2kuDqwxrph_clipping_5275831.pdf),Square Joe,,,,,,,,
Edwards,J. Harrison,J. Harrison Edwards,,,,,clipping_5275831.pdf (https://dl.airtable.com/Tj7qg3O4QymQ3X9ZxH7Q_clipping_5275831.pdf),,Square Joe,,,,Square Joe,,,
Fouchee,Charles,Charles Fouchee,,,,,clipping_5275831.pdf (https://dl.airtable.com/XHAeWfhwQzmzSpLGNvCA_clipping_5275831.pdf),Square Joe,,,,,,,,
Moore,Mrs. Fred R.,Mrs. Fred R. Moore,,,,,clipping_5275831.pdf (https://dl.airtable.com/1OcJzkCZTNKj5ce2xUtp_clipping_5275831.pdf),Square Joe,,,,,,,,
Miller,Fred,Fred Miller,,,,,clipping_5275831.pdf (https://dl.airtable.com/pNiF6aqTTtCPZmSL6sZv_clipping_5275831.pdf),Square Joe,,,,,,,,
Fitzgerald,Bobby,Bobby Fitzgerald,,,,,clipping_5275831(1).pdf (https://dl.airtable.com/7SUMRefGSdi3aOdqJir1_clipping_5275831(1).pdf),Square Joe,,,,,,,,
Moore,Mrs. Eugene L.,Mrs. Eugene L. Moore,,,,,clipping_5275831(1).pdf (https://dl.airtable.com/QQIGWoU7SBCggSMUcUUy_clipping_5275831(1).pdf),Square Joe,,,,,,,,
Washington,Frederica,Frederica Washington,,,,,clipping_5275831(1).pdf (https://dl.airtable.com/wM0hbIoQQEKFAfk6IB70_clipping_5275831(1).pdf),Square Joe,,,,,,,,
Summer,Minnie,Minnie Summer,,,,,clipping_5275831(1).pdf (https://dl.airtable.com/wXJ8eAYpTSmrisDEdLYg_clipping_5275831(1).pdf),Square Joe,,,,,,,,
Valley,Annie,Annie Valley,,,,,out(23).pdf (https://dl.airtable.com/eUPZqRUGRm2276QMqksm_out(23).pdf),Steppin' High,,,,,,,,
Trice,L.,L. Trice,,,,"The Appeal (Saint Paul, Minnesota) �� Sat, Sep 9, 1916 �� First Edition �� Page 4",clipping_5299997.pdf (https://dl.airtable.com/c5IrYJYLQnOGiA5mtigz_clipping_5299997.pdf),With the Help of Uncle Eben,,,,,,,,
Owens,Eugene,Eugene Owens,,,,"The Appeal (Saint Paul, Minnesota) �� Sat, Sep 9, 1916 �� First Edition �� Page 4",clipping_5299997.pdf (https://dl.airtable.com/GrQwC2TaQRyy8vhe1sl5_clipping_5299997.pdf),With the Help of Uncle Eben,,,,,,,,
James,W.D.,W.D. James,,,,"In charge of Southern distributing office for Afro-American. See The Billboard 34.4 (Jan 28, 1922): 107.",,,,,,,,Afro-American Film Company,,
Gillstrom,Arvid,Arvid Gillstrom,,,,,,,Oft in the Silly Night,,,,,,,
Randolph,Forbes,Forbes Randolph,,,,,,,,,,,,,,
Millman,A.A.,A.A. Millman,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,A.A. Millman,,
Bartlett,Al,Al Bartlett,,,,"President of Al Bartlett Film Manufacturing Co. (see The Atlanta Constitution (Atlanta, Georgia) �� Sun, May 2, 1915 �� Page 5, attached). See also Muskogee Times-Democrat (Muskogee, Oklahoma) �� Sat, May 3, 1919 �� Page 7.","clipping_5331914.pdf (https://dl.airtable.com/TyT00o3SRECvqd0Xsw94_clipping_5331914.pdf),clipping_5331948.pdf (https://dl.airtable.com/dPdzizMyTbSW2H1vorpD_clipping_5331948.pdf)",,,,,,,Al Bartlett Film Manufacturing Company,,
Anderson,Louis B.,Louis B. Anderson,,,,"With William F. Watkins, created the Anderson Watkins company in 1913. See Field, Uplift Cinema, pp. 101-120.",,,,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,Anderson-Watkins Film Exhibition Company,,
Watkins,William F.,William F. Watkins,,,,"Dentist from Montgomery, Alabama, who co-created the Anderson-Watkins Company with Anderson. See Field, Uplift Cinema, p. 104.",,,,,,,,Anderson-Watkins Film Exhibition Company,,
Blackburn,Robert F.,Robert F. Blackburn,,,,"On his involvement in Blackburn Velde, see The Morning News (Wilmington, Delaware) �� Fri, Sep 2, 1921 �� Main Edition �� Page 10 (attached).",clipping_5341379.pdf (https://dl.airtable.com/DDGqLULfTo6NT5FRfbSx_clipping_5341379.pdf),,,,,,,Blackburn Velde Productions,,
Velde,Dedie S.,Dedie S. Velde,,,,"On involvement in Blackburne Velde, see The Morning News (Wilmington, Delaware) �� Fri, Sep 2, 1921 �� Main Edition �� Page 10.

On Velde's theatrical career, see The Indianapolis Star (Indianapolis, Indiana) �� Sun, Sep 7, 1919 �� Page 54; and The Winnipeg Tribune (Winnipeg, Manitoba, Canada) �� Wed, Oct 9, 1918 �� Page 7.","clipping_5341379.pdf (https://dl.airtable.com/62nSojxLTOGsGHhhfLP9_clipping_5341379.pdf),clipping_5341536.pdf (https://dl.airtable.com/cgfSIZKSuyFM12jv2r9x_clipping_5341536.pdf),clipping_5341564.pdf (https://dl.airtable.com/i3kJFP7YQZW1PmHoto3v_clipping_5341564.pdf)",,,,,,,Blackburn Velde Productions,,
Velde,Marie,Marie Velde,,,,"On involvement in Blackburn Velde, see The Morning News (Wilmington, Delaware) �� Fri, Sep 2, 1921 �� Main Edition �� Page 10.

On theatrical career, see The Oregon Statesman (Salem, Oregon) �� Sun, Jan 27, 1918 �� Page 10.","clipping_5341379.pdf (https://dl.airtable.com/Pn1k1UxlSQq0Q5BzFVPI_clipping_5341379.pdf),clipping_5341582.pdf (https://dl.airtable.com/vxStH4iWQN2ie0kCcI0U_clipping_5341582.pdf)",,,,,,,Blackburn Velde Productions,,
Fitzgerald,J.A.,J.A. Fitzgerald,,,,"Director of Eureka Film Company, according to CHARLES GILPIN NOTED ACTOR TO ENTER MOVIES. (1921, Apr 22). Afro-American (1893-1988).",out (8).pdf (https://dl.airtable.com/I2RviMrVT6Q1qqyNWMgw_out%20(8).pdf),,,,,,,Eureka Film Company,,
Lewis,Cary B.,Cary B. Lewis,,,,"The Chicago correspondent for the Indianapolis Freeman, Lewis served as the publicity agent for A Day at Tuskegee (Field, 107).",,,,,,,,Anderson-Watkins Film Exhibition Company,,
Dorsey,Lizzie Hart,Lizzie Hart Dorsey,,,,"""Celebrated African American singer and performer"" (Field 195).",,The Butler,,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Langston,Tony,Tony Langston,,,,"Columnist for Defender/booking agent for Foster and Lincoln (see Field, 204).",,,,,,,The Trooper of Company K,"Foster Photoplay Company,Lincoln Motion Picture Company",,
Williams,J. Clifford,J. Clifford Williams,Lt. J. Clifford Williams,,,"See D. Ireland Thomas. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Mar 04, 1922 (attached).",out (1).pdf (https://dl.airtable.com/EeIPFLRBCim4rgSTo27w_out%20(1).pdf),,,,,,,Monumental Corporation,,
Scott,Walter S.,Walter S. Scott,,,,"Owner of Savannah Motion Picture Company. See D. IRELAND THOMAS. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Jan 17, 1925. ",out (2).pdf (https://dl.airtable.com/G9zs9H1OQVug2gzTFQwo_out%20(2).pdf),,,,,,,Savannah Motion Picture Company,,
Rosen,A.,A. Rosen,,,,"Owner, American Colored Film Exchange. See D. IRELAND THOMAS. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Aug 16, 1924. ",out (6).pdf (https://dl.airtable.com/QlEpD3QBSh27LrO9eFre_out%20(6).pdf),,,,,,,American Colored Film Exchange,,
Lynwood,Ernest D.,Ernest D. Lynwood,,,,"Manager, Western Film Production Company. See D. IRELAND THOMAS. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Jun 21, 1924. ",,,,,,,,Western Film Production Company,,
Snyder,E.L.,E.L. Snyder,,,,"On involvement in Pyramid, see D. IRELAND THOMAS. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Oct 06, 1923. ",,,,,,,,Pyramid Picture Corporation,,
Baccus,V.,V. Baccus,,,,"See D. IRELAND THOMAS. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), May 26, 1923. ""Mr. Baccus is a sober and reliable man. But he is always talking of wanting to manage a theater, but he will not leave Paris, Tex., where he has a lovely home, wife, and daughter.""",out (9).pdf (https://dl.airtable.com/gqu8KwYR9SF7Cl87zw3i_out%20(9).pdf),,From Cotton Patch to Congress,,,,,Baccus Film Company,,
Grimes,William H.,William H. Grimes,,,,"D. Ireland Thomas. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Jan 20, 1923.",out (11).pdf (https://dl.airtable.com/EKduPI6ASnqSk0FVQ7ra_out%20(11).pdf),,Outside Prison Walls,,,,,,,
Dawson,Charles P.,Charles P. Dawson,,,,"Secretary and VP of Pyramid Picture Corp. See D. Ireland Thomas. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Apr 15, 1922.",out (25).pdf (https://dl.airtable.com/1eXGibCTC2Vii8OlHaWt_out%20(25).pdf),,,,,,,Pyramid Picture Corporation,,
Graham,Birdie,Birdie Graham,,,,"On authorship of The Jungle God, see ""J.A. JACKSON'S PAGE: PHILADELPHIA JOURNAL."" The Billboard (Archive: 1894-1960) 33, no. 18 (Apr 30, 1921): 45.",ProQuestDocuments-2016-06-05 (5).pdf (https://dl.airtable.com/rqeLVgZcTweI62PXlM1O_ProQuestDocuments-2016-06-05%20(5).pdf),,,,,,The Jungle God,,,
Filtenberg,Essie,Essie Filtenberg,,,,"On involvement in My First Love, see ""J. A. JACKSON'S PAGE: MUSE ENTERPRISES SUCCEEDING."" The Billboard (Archive: 1894-1960) 33, no. 24 (Jun 11, 1921): 45.",ProQuestDocuments-2016-06-05 (9).pdf (https://dl.airtable.com/rCjUkYs6TSiGviAxRupQ_ProQuestDocuments-2016-06-05%20(9).pdf),My First Love,,,,,,,,
Vodery,C. F.,C. F. Vodery,,,,,,,,,The Fighting Fifteenth Colored Regiment,,,,,
Allen,Charles H.,Charles H. Allen,,,,"J.A. JACKSON'S PAGE: RELEASES FIRST PICTURE. The Billboard (Archive: 1894-1960), Nov 05, 1921. 47",ProQuestDocuments-2016-06-05 (14).pdf (https://dl.airtable.com/YYlT5yQ6QlewbUVEST6r_ProQuestDocuments-2016-06-05%20(14).pdf),The Lure of a Woman,,,,,,Afro-American Film Company,,
